state,year,constituency_no,constituency_name,district,candidate_rank,candidate,party,party_full,evm_votes,postal_votes,total_votes,vote_share,source_url,source_last_updated,data_version
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,1,S.VIJAYAKUMAR,TVK,Tamilaga Vettri Kazhagam,93820,500,94320,40.56,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,2,SUDHAKAR.V,ADMK,All India Anna Dravida Munnetra Kazhagam,65894,481,66375,28.55,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,3,T.J.GOVINDARAJAN,DMK,Dravida Munnetra Kazhagam,61922,570,62492,26.88,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,4,"R.SRIDAR. B.L.,",NTK,Naam Tamilar Katchi,4707,49,4756,2.05,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,5,NOTA,NOTA,None of the Above,931,6,937,0.4,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,6,M.JAGADEESAN,BSP,Bahujan Samaj Party,695,2,697,0.3,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,7,SDK SANKAR,AJPK,Aanaithinthiya Jananayaka Pathukappu Kazhagam,593,6,599,0.26,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,8,G.RANJITH B.SC.L.L.B,IND,Independent,502,1,503,0.22,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,9,K. CHANDRA SEKAR,VTVTK,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,335,1,336,0.14,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,10,D.SUDHAKAR,IND,Independent,319,2,321,0.14,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,11,M.KUMARAN,IND,Independent,260,0,260,0.11,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,12,D.DINESH,IND,Independent,222,0,222,0.1,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,13,V.SUDHAKAR,IND,Independent,217,0,217,0.09,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,14,T.GOVINDAN,IND,Independent,205,1,206,0.09,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,15,GOPAL.K,IND,Independent,174,3,177,0.08,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,16,A.H. SIVA GANESH,IND,Independent,104,0,104,0.04,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,1,DR.RAVI.M.S,TVK,Tamilaga Vettri Kazhagam,110051,388,110439,48.69,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,2,DURAI CHANDRASEKAR,INC,Indian National Congress,54301,370,54671,24.1,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,3,BALARAMAN.P,ADMK,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,4,RAJATHI.M,NTK,Naam Tamilar Katchi,6633,43,6676,2.94,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,5,NOTA,NOTA,None of the Above,859,6,865,0.38,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,6,SANTHOSHKUMAR.J,BSP,Bahujan Samaj Party,611,4,615,0.27,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,7,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,8,ASHOK PRIYADARSHAN,DMSK,Desiya Makkal Sakthi Katchi,360,6,366,0.16,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,9,RAJA.S,Vanchit Bahujan Aaghadi,Vanchit Bahujan Aaghadi,295,4,299,0.13,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,10,RAJASEKAR.J,IND,Independent,288,1,289,0.13,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,11,NAGAIYAN.G,IND,Independent,227,5,232,0.1,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,12,VENKATESAN.S,IND,Independent,202,1,203,0.09,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,13,KOTTEESWARAN. K,TVKATCHI,Tamizhaga Vaazhvurimai Katchi,163,3,166,0.07,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,14,BARATHIRAJA.K,IND,Independent,155,4,159,0.07,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,1,G.HARI,ADMK,All India Anna Dravida Munnetra Kazhagam,87893,1276,89169,37.34,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,2,M.SATHYA KUMAR,TVK,Tamilaga Vettri Kazhagam,82608,768,83376,34.91,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,3,D.KRISHNAMURTHY,DMDK,Desiya Murpokku Dravida Kazhagam,53976,887,54863,22.97,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,4,CHANDRAN .S.S,NTK,Naam Tamilar Katchi,6516,188,6704,2.81,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,5,NOTA,NOTA,None of the Above,1180,30,1210,0.51,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,6,KRISHNAMOORTHY.M,IND,Independent,943,3,946,0.4,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,7,JAMBU.B,IND,Independent,623,5,628,0.26,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,8,MUTHURAJ.G,BSP,Bahujan Samaj Party,469,1,470,0.2,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,9,KRISHNAMOORTHY.D,IND,Independent,460,7,467,0.2,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,10,BALAJI.A,Thakkam Katchi,Thakkam Katchi,272,0,272,0.11,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,11,KRISHNAMOORTHY.K,IND,Independent,201,9,210,0.09,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,12,DR.A.V.NARENDRAN,IND,Independent,197,1,198,0.08,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,13,SHETTU.S,IND,Independent,152,1,153,0.06,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,14,PAVENDHAN.Y.R,TVKATCHI,Tamizhaga Vaazhvurimai Katchi,130,2,132,0.06,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,1,DR. T. ARUNKUMAR,TVK,Tamilaga Vettri Kazhagam,91683,507,92190,40.71,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,2,V.G. RAAJENDRAN,DMK,Dravida Munnetra Kazhagam,66729,701,67430,29.78,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,3,BE  VEE RAMANAH,ADMK,All India Anna Dravida Munnetra Kazhagam,56086,476,56562,24.98,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,4,K. SENTHILKUMAR,NTK,Naam Tamilar Katchi,5452,61,5513,2.43,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,5,NOTA,NOTA,None of the Above,1122,10,1132,0.5,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,6,S. RAJENDRAN,IND,Independent,867,1,868,0.38,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,7,B. RAJESH KUMAR,BSP,Bahujan Samaj Party,668,6,674,0.3,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,8,E. MANI,Republican Party of India (Athawale),Republican Party of India (Athawale),644,9,653,0.29,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,9,N. VENKATESAN,AJPK,Aanaithinthiya Jananayaka Pathukappu Kazhagam,352,2,354,0.16,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,10,G. RAJENDIRAN,IND,Independent,223,4,227,0.1,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,11,E.KOTHANDAN,IND,Independent,201,2,203,0.09,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,12,N. BALAKRISHNAN,IND,Independent,186,0,186,0.08,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,13,N. NAGENDRABABU,IND,Independent,184,0,184,0.08,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,14,E. RAJARATHINAM,TVKATCHI,Tamizhaga Vaazhvurimai Katchi,134,0,134,0.06,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,15,R. RAMANAN,IND,Independent,118,0,118,0.05,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,5,POONAMALLEE,Thiruvallur,1,PRAKASAM.R,TVK,Tamilaga Vettri Kazhagam,160643,666,161309,52.22,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS225.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,5,POONAMALLEE,Thiruvallur,2,KRISHNASWAMY.A,DMK,Dravida Munnetra Kazhagam,87803,766,88569,28.67,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS225.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
