state,year,constituency_no,constituency_name,district,region_group,winner_candidate,winner_party,winner_votes,winner_vote_share,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_vote_share,margin,total_votes,result_status,source_url,source_last_updated,data_version
Tamil Nadu,2026,1,GUMMIDIPOONDI,Thiruvallur,,S.VIJAYAKUMAR,TVK,94320,40.56,SUDHAKAR.V,ADMK,66375,28.55,27945,232522,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,2,PONNERI,Thiruvallur,,DR.RAVI.M.S,TVK,110439,48.69,DURAI CHANDRASEKAR,INC,54671,24.1,55768,226819,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,3,TIRUTTANI,Thiruvallur,,G.HARI,ADMK,89169,37.34,M.SATHYA KUMAR,TVK,83376,34.91,5793,238798,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,4,THIRUVALLUR,Thiruvallur,,DR. T. ARUNKUMAR,TVK,92190,40.71,V.G. RAAJENDRAN,DMK,67430,29.78,24760,226428,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,5,POONAMALLEE,Thiruvallur,Chennai Urban Belt,PRAKASAM.R,TVK,161309,52.22,KRISHNASWAMY.A,DMK,88569,28.67,72740,308894,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS225.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,6,AVADI,Thiruvallur,Chennai Urban Belt,R.RAMESH KUMAR,TVK,180384,52.13,S.M.NASAR,DMK,104073,30.08,76311,346005,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS226.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,7,MADURAVOYAL,Thiruvallur,Chennai Urban Belt,RHEVANTH CHARAN,TVK,141725,48.26,GANAPATHY. K,DMK,80216,27.31,61509,293692,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS227.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,8,AMBATTUR,Thiruvallur,Chennai Urban Belt,BALAMURUGAN.G,TVK,133339,51.29,DR A.P. POORNIMA,DMK,74558,28.68,58781,259986,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS228.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,9,MADAVARAM,Thiruvallur,Chennai Urban Belt,M.L.VIJAYPRABHU,TVK,190462,52.61,S.SUDHARSANAM,DMK,95477,26.38,94985,361998,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS229.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,10,THIRUVOTTIYUR,Thiruvallur,Chennai Urban Belt,SENTHIL KUMAR. N,TVK,110067,53.15,SUNDARARAJ. L,CPI(M),56503,27.28,53564,207088,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2210.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,11,DR.RADHAKRISHNAN NAGAR,Chennai,Chennai Administrative District,N. MARIE WILSON,TVK,97800,53.97,J. JOHN EBENEZER,DMK,48132,26.56,49668,181206,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2211.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,12,PERAMBUR,Chennai,Chennai Administrative District,C. JOSEPH VIJAY,TVK,120365,58.89,R.D. SHEKAR,DMK,66650,32.61,53715,204384,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2212.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,13,KOLATHUR,Chennai,Chennai Administrative District,V. S. BABU,TVK,82997,45.09,M. K. STALIN,DMK,74202,40.32,8795,184051,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2213.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,14,VILLIVAKKAM,Chennai,Chennai Administrative District,AADHAV ARJUNA,TVK,66445,46.97,KARTHIK MOHAN,DMK,49143,34.74,17302,141452,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2214.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,15,THIRU-VI-KA-NAGAR,Chennai,Chennai Administrative District,M. R. PALLAVI,TVK,69125,48.04,K. S. RAVICHANDRAN,DMK,46792,32.52,22333,143903,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2215.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,16,EGMORE,Chennai,Chennai Administrative District,RAJMOHAN,TVK,53901,45.02,TAMILAN PRASANNA,DMK,43097,35.99,10804,119738,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2216.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,17,ROYAPURAM,Chennai,Chennai Administrative District,K.V. VIJAY DAMU,TVK,59091,46.4,DR. A. SUBAIR KHAN,DMK,44842,35.21,14249,127356,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2217.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,18,HARBOUR,Chennai,Chennai Administrative District,P K SEKARBABU,DMK,45254,45.43,SINORA P S ASHOK,TVK,33504,33.63,11750,99622,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2218.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,19,CHEPAUK-THIRUVALLIKENI,Chennai,Chennai Administrative District,UDHAYANIDHI STALIN,DMK,62992,44.76,SELVAM. D,TVK,55852,39.68,7140,140741,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2219.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,20,THOUSAND LIGHTS,Chennai,Chennai Administrative District,PRABHAKAR.J.C.D,TVK,58965,44.73,EZHILAN NAGANATHAN,DMK,43824,33.24,15141,131824,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2220.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,21,ANNA NAGAR,Chennai,Chennai Administrative District,V.K.RAMKUMAR,TVK,71375,43.7,N.CHITRARASU,DMK,50012,30.62,21363,163339,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2221.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,22,VIRUGAMPAKKAM,Chennai,Chennai Administrative District,SABARINATHAN.R,TVK,76092,44.03,PRABHAKARA RAJA.A.M.V,DMK,49006,28.35,27086,172831,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2222.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,23,SAIDAPET,Chennai,Chennai Administrative District,ARUL PRAKASAM. M,TVK,81205,50.63,SUBRAMANIAN. MA,DMK,52691,32.85,28514,160401,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2223.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,24,THIYAGARAYANAGAR,Chennai,Chennai Administrative District,ANAND N,TVK,51632,38.55,SATHIYANARAYANAN B,ADMK,38605,28.83,13027,133928,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2224.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
Tamil Nadu,2026,25,MYLAPORE,Chennai,Chennai Administrative District,VENKATARAMANAN. P,TVK,70070,46.53,VELU. DHA,DMK,41098,27.29,28972,150594,Result Declared,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS2225.htm,04:18 PM On 05/05/2026,official_public_snapshot_2026_05_05_1618
