constituency_no,constituency_name,administrative_district,region_group,is_reserved,reservation_type,notes,mapping_source_url,mapping_verified_on
1,GUMMIDIPOONDI,Thiruvallur,,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
2,PONNERI,Thiruvallur,,true,SC,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
3,TIRUTTANI,Thiruvallur,,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
4,THIRUVALLUR,Thiruvallur,,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
5,POONAMALLEE,Thiruvallur,Chennai Urban Belt,true,SC,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
6,AVADI,Thiruvallur,Chennai Urban Belt,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
7,MADURAVOYAL,Thiruvallur,Chennai Urban Belt,false,,Administrative district corrected from broad Chennai grouping; part of Chennai Urban Belt.,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
8,AMBATTUR,Thiruvallur,Chennai Urban Belt,false,,Administrative district corrected from broad Chennai grouping; part of Chennai Urban Belt.,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
9,MADAVARAM,Thiruvallur,Chennai Urban Belt,false,,Administrative district corrected from broad Chennai grouping; part of Chennai Urban Belt.,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
10,THIRUVOTTIYUR,Thiruvallur,Chennai Urban Belt,false,,Administrative district corrected from broad Chennai grouping; part of Chennai Urban Belt.,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
11,DR. RADHAKRISHNAN NAGAR,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
12,PERAMBUR,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
13,KOLATHUR,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
14,VILLIVAKKAM,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
15,THIRU-VI-KA-NAGAR,Chennai,Chennai Administrative District,true,SC,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
16,EGMORE,Chennai,Chennai Administrative District,true,SC,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
17,ROYAPURAM,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
18,HARBOUR,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
19,CHEPAUK-THIRUVALLIKENI,Chennai,Chennai Administrative District,false,,,https://en.wikipedia.org/wiki/List_of_constituencies_of_the_Tamil_Nadu_Legislative_Assembly,2026-05-12
