year,total_seats,first_pole,first_seats,second_pole,second_seats,third_pole,third_seats,other_seats,pattern,notes,source_url
1967,234,DMK-led United Front,179,Indian National Congress,51,Other parties/fronts,4,0,transition_bipolar,Dravidian-era rupture: DMK-led front defeated Congress dominance,https://en.wikipedia.org/wiki/1967_Madras_State_Legislative_Assembly_election
1971,234,DMK,184,Indian National Congress (Organisation),15,Other parties/fronts,35,0,transition_bipolar,DMK remained dominant while Congress fragmentation shaped the opposition,https://en.wikipedia.org/wiki/1971_Tamil_Nadu_Legislative_Assembly_election
1977,234,AIADMK-led Alliance,144,DMK,48,Congress/Janata/others,42,0,emerging_dravidian_bipolar,AIADMK rise began the durable AIADMK-vs-DMK era,https://en.wikipedia.org/wiki/1977_Tamil_Nadu_Legislative_Assembly_election
1980,234,AIADMK-led Alliance,162,DMK-Congress Alliance,69,Other parties/fronts,3,0,dravidian_bipolar,Contest centered on AIADMK versus a DMK-Congress pole,https://en.wikipedia.org/wiki/1980_Tamil_Nadu_Legislative_Assembly_election
1984,234,AIADMK-led Alliance,195,DMK-led Alliance,34,Other parties/fronts,5,0,dravidian_bipolar,AIADMK-led front dominated; DMK-led front remained the principal opposition pole,https://en.wikipedia.org/wiki/1984_Tamil_Nadu_Legislative_Assembly_election
1989,234,DMK,150,AIADMK (Jayalalithaa)+CPI,30,Indian National Congress,26,28,fragmented_exception,AIADMK split and Congress contest made this a major exception to the bipolar pattern,https://en.wikipedia.org/wiki/1989_Tamil_Nadu_Legislative_Assembly_election
1991,234,AIADMK-Congress Alliance,225,DMK-led Front,7,Other parties/fronts,2,0,dravidian_bipolar,AIADMK-Congress wave reduced the DMK-led side to a tiny opposition,https://en.wikipedia.org/wiki/1991_Tamil_Nadu_Legislative_Assembly_election
1996,234,DMK-led United Front,221,AIADMK-Congress Alliance,4,Other parties/fronts,9,0,dravidian_bipolar,DMK-led landslide against AIADMK-led incumbent front,https://en.wikipedia.org/wiki/1996_Tamil_Nadu_Legislative_Assembly_election
2001,234,AIADMK-led Alliance,196,DMK-led Alliance,37,Other parties/fronts,1,0,dravidian_bipolar,Alliance competition remained primarily AIADMK-led versus DMK-led,https://en.wikipedia.org/wiki/2001_Tamil_Nadu_Legislative_Assembly_election
2006,234,DMK-led Alliance,163,AIADMK-led Alliance,69,Other parties/fronts,2,0,dravidian_bipolar,DMK-led alliance won while AIADMK-led alliance remained the second pole,https://en.wikipedia.org/wiki/2006_Tamil_Nadu_Legislative_Assembly_election
2011,234,AIADMK-led Alliance,203,DMK-led Alliance,31,Other parties/fronts,0,0,dravidian_bipolar,AIADMK-led landslide; opposition was still grouped around the DMK-led pole,https://en.wikipedia.org/wiki/2011_Tamil_Nadu_Legislative_Assembly_election
2016,234,AIADMK-led Alliance,136,DMK-led Alliance,98,Other parties/fronts,0,0,dravidian_bipolar,Classic AIADMK-led versus DMK-led bipolar contest,https://en.wikipedia.org/wiki/2016_Tamil_Nadu_Legislative_Assembly_election
2021,234,DMK-led SPA,159,AIADMK-led NDA,75,Other parties/fronts,0,0,dravidian_bipolar,DMK-led and AIADMK-led alliances captured all seats,https://en.wikipedia.org/wiki/2021_Tamil_Nadu_Legislative_Assembly_election
2026,234,TVK,108,DMK,59,AIADMK,47,20,three_force_break,TVK creates a serious third-force break from the DMK-AIADMK era,https://results.eci.gov.in/ResultAcGenMay2026/
